service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20210822,20220101
10,1,1,1,1,1,0,0,20210822,20220101
11,0,0,0,0,0,1,0,20210822,20220101
12,0,0,0,0,0,0,1,20210822,20220101
13,0,0,0,0,0,0,0,20210822,20220101
14,1,1,1,1,1,0,0,20210314,20231231
15,0,0,0,0,0,1,0,20210314,20231231
16,0,0,0,0,0,0,1,20210314,20231231
17,0,0,0,0,0,0,0,20210314,20231231
2,0,0,0,0,0,1,0,20210822,20220101
22_merged_1381607,1,1,1,1,1,0,0,20190915,20201121
22_merged_1381611,1,1,1,1,1,0,0,20201122,20211231
23_merged_1381608,0,0,0,0,0,1,0,20190915,20201121
23_merged_1381612,0,0,0,0,0,1,0,20201122,20211231
24_merged_1381605,0,0,0,0,0,0,1,20190915,20201121
24_merged_1381609,0,0,0,0,0,0,1,20201122,20211231
25_merged_1381606,0,0,0,0,0,0,0,20190915,20201121
25_merged_1381610,0,0,0,0,0,0,0,20201122,20211231
3,0,0,0,0,0,0,1,20210822,20220101
4,0,0,0,0,0,0,0,20210822,20220101
6,1,1,1,1,1,0,0,20210822,20220101
7,0,0,0,0,0,1,0,20210822,20220101
8,0,0,0,0,0,0,1,20210822,20220101
9,0,0,0,0,0,0,0,20210822,20220101
