service_id,date,exception_type
13,20210906,1
17,20181122,1
17,20181225,1
17,20190101,1
17,20190527,1
25_merged_1381610,20201126,1
25_merged_1381610,20201225,1
25_merged_1381610,20210101,1
25_merged_1381610,20210531,1
25_merged_1381610,20211125,1
4,20210906,1
9,20210906,1
1,20210906,2
10,20210906,2
14,20180527,2
14,20181122,2
14,20181225,2
14,20190101,2
22_merged_1381611,20201126,2
22_merged_1381611,20201225,2
22_merged_1381611,20210101,2
22_merged_1381611,20210531,2
22_merged_1381611,20211125,2
6,20210906,2
