route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10814,4,501,,,3,,A400A4,FFFFFF
10815,4,502,,,3,,FF80FF,FFFFFF
10816,4,503,,,3,,000080,FFFFFF
10817,4,505,,,3,,FF8040,FFFFFF
10818,4,506,,,3,,00BB00,FFFFFF
10819,4,507,,,3,,A05050,FFFFFF
10820,4,509,,,3,,7D7DFF,FFFFFF
10821,4,510,,,3,,BF00BF,FFFFFF
10822,4,512,,,3,,6C3600,FFFFFF
10823,4,541,,,3,,FF00FF,FFFFFF
10824,4,542*,,,3,,800080,FFFFFF
10825,4,543,,,3,,0000FF,FFFFFF
10826,4,HNB,,,3,,008080,FFFFFF
10827,7,215*,,,3,,008000,FFFFFF
10828,7,291,,,3,,000000,FFFFFF
10829,7,292,,,3,,800080,FFFFFF
10830,7,411,,,3,,000080,FFFFFF
10831,7,412,,,3,,800080,FFFFFF
10832,7,413,,,3,,008080,FFFFFF
10833,7,416,,,3,,808000,FFFFFF
10834,7,417,,,3,,FF8000,FFFFFF
10835,7,418,,,3,,800080,FFFFFF
10836,7,421,,,3,,FF80FF,FFFFFF
10837,7,422,,,3,,408000,FFFFFF
10838,7,425,,,3,,008080,FFFFFF
10839,7,426,,,3,,000080,FFFFFF
10840,7,428,,,3,,FF00FF,FFFFFF
10841,7,431,,,3,,FF0000,FFFFFF
10842,7,432,,,3,,0000FF,FFFFFF
10843,7,433,,,3,,800080,FFFFFF
10844,7,436,,,3,,808000,FFFFFF
10845,7,441,,,3,,3CC4A5,FFFFFF
10846,7,442,,,3,,FF0080,FFFFFF
10847,7,444,,,3,,00DD6F,FFFFFF
10848,7,445,,,3,,008080,FFFFFF
10849,7,446,,,3,,0000FF,FFFFFF
10850,7,447,,,3,,FF0000,FFFFFF
10851,7,450,,,3,,000000,FFFFFF
10852,7,460,,,3,,8000FF,FFFFFF
10853,7,470,,,3,,FF0000,FFFFFF
10854,7,471,,,3,,BC7A7A,FFFFFF
10855,7,472,,,3,,0000A0,FFFFFF
10856,7,473,,,3,,000000,FFFFFF
10857,7,479,,,3,,00FF00,FFFFFF
10858,7,561,,,3,,FF0000,FFFFFF
10859,7,563,,,3,,0000FF,FFFFFF
10860,7,564,,,3,,0000FF,FFFFFF
10861,7,565,,,3,,00FF00,FFFFFF
10862,7,566,,,3,,00FF00,FFFFFF
10911,7,480,,,3,,0000A0,FFFFFF
12324,1,101,,,3,,FF0000,FFFFFF
12325,1,102,,,3,,00E100,FFFFFF
12326,1,121,,,3,,0000FF,FFFFFF
12327,1,128,,,3,,950095,FFFFFF
12328,1,140,,,3,,0000FF,FFFFFF
12329,1,144,,,3,,804040,FFFFFF
12330,1,153,,,3,,FF8040,FFFFFF
12331,1,160,,,3,,000000,FFFFFF
12332,1,161,,,3,,8000FF,FFFFFF
12333,1,30,,,3,,000080,FFFFFF
12334,1,31,,,3,,0000FF,FFFFFF
12335,1,32,,,3,,FF8040,FFFFFF
12336,1,33,,,3,,FF0000,FFFFFF
12337,1,34,,,3,,000000,FFFFFF
12338,1,36,,,3,,0000FF,FFFFFF
12339,1,37,,,3,,0000FF,FFFFFF
12340,1,38,,,3,,0000FF,FFFFFF
12341,1,39,,,3,,8000FF,FFFFFF
12342,1,40,,,3,,CD1BA0,FFFFFF
12343,1,41,,,3,,FF0000,FFFFFF
12344,1,42,,,3,,CD1BA0,FFFFFF
12345,1,43,,,3,,6B52AD,FFFFFF
